PG-FROG,0.0%,2.6%,2.9%,3.6%,5.2%,9.1%,11.7%
SHG-FROG,0.0%,1.1%,1.8%,2.4%,3.8%,6.9%,8.8%
PIE,0.0%,2.7%,4.7%,6.1%,8.4%,14.1%,17.8%
PCGPA,0.0%,3.5%,6.1%,7.8%,10.9%,19.1%,23.2%
SHG-TDP,0.0%,2.6%,3.5%,4.2%,5.7%,8.5%,9.1%
SHG-d-scan,0.0%,1.0%,1.4%,1.7%,2.6%,5.7%,8.1%
SHG-iFROG,0.0%,2.0%,2.7%,3.3%,4.6%,9.0%,12.2%
SHG-MIIPS,0.0%,0.7%,1.0%,1.3%,1.9%,5.3%,9.4%
THG-d-scan,0.0%,1.1%,1.6%,1.9%,2.7%,5.3%,7.7%
THG-iFROG,0.0%,2.8%,3.3%,3.7%,4.3%,6.2%,7.1%
THG-MIIPS,0.0%,0.4%,0.6%,0.8%,1.1%,2.4%,3.5%
SD-d-scan,0.0%,2.1%,3.0%,3.4%,4.0%,7.2%,10.2%
SD-iFROG,0.0%,2.9%,2.8%,2.9%,3.2%,4.1%,5.1%
SD-MIIPS,0.0%,0.6%,0.9%,1.2%,1.5%,2.9%,4.2%
,0%,0.1%,0.3%,0.5%,1%,3%,5%
